<<<<<<< HEAD
0	1.16101376311229e-10
0.0349066	1.15851417627542e-10
0.0698132	1.15102392148572e-10
0.10472	1.13856889183125e-10
0.139626	1.12119441625776e-10
0.174533	1.09896562371734e-10
0.20944	1.07197359270569e-10
0.244346	1.04033895172308e-10
0.279253	1.00421409884018e-10
0.314159	9.63796603527499e-11
0.349066	9.19328923922288e-11
0.383972	8.71116832773879e-11
0.418879	8.19529601908419e-11
0.453786	7.65020651780873e-11
0.488692	7.08135497661895e-11
0.523599	6.49517893914101e-11
0.558505	5.89931183211791e-11
0.593412	5.30251269806496e-11
0.628319	4.714784127784e-11
0.663225	4.14721487380769e-11
0.698132	3.61167017636084e-11
0.733038	3.12041932745767e-11
0.767945	2.68524090775859e-11
0.802851	2.31641974558151e-11
0.837758	2.0212041401515e-11
0.872665	1.80226064628081e-11
0.907571	1.65624714770291e-11
0.942478	1.57351922718292e-11
0.977384	1.54042299607819e-11
1.01229	1.54617778860008e-11
1.0472	1.59654915475127e-11
1.0821	1.73417896096511e-11
1.11701	2.05782083609125e-11
1.15192	2.7108911574003e-11
1.18682	3.7773796346108e-11
1.22173	5.04281072416324e-11
1.25664	5.81563499836971e-11
1.29154	5.41149808306114e-11
1.32645	4.3527209275821e-11
1.36136	3.6543353745274e-11
1.39626	3.35704934921117e-11
1.43117	3.31206791812546e-11
1.46608	3.21185538697383e-11
1.50098	2.97003377988021e-11
1.53589	3.6432634253002e-11
1.5708	3.50459613098073e-11
1.6057	3.64338293143722e-11
1.64061	2.97002465687937e-11
1.67552	3.21188494578059e-11
1.71042	3.31205647868331e-11
1.74533	3.35705434059197e-11
1.78024	3.654454794287e-11
1.81514	4.35265075969808e-11
1.85005	5.41142537813514e-11
1.88496	5.81558499711343e-11
1.91986	5.04289946860243e-11
1.95477	3.7774740014339e-11
1.98968	2.71070999432763e-11
2.02458	2.05785607672006e-11
2.05949	1.73419485697733e-11
2.0944	1.59653175467029e-11
2.1293	1.54617967286964e-11
2.16421	1.54042348481027e-11
2.19911	1.57351182256604e-11
2.23402	1.65624182817855e-11
2.26893	1.8022728384917e-11
2.30383	2.02116987141454e-11
2.33874	2.31640397549423e-11
2.37365	2.6852680319678e-11
2.40855	3.12035732310435e-11
2.44346	3.61166052540996e-11
2.47837	4.1472520860769e-11
2.51327	4.71472346502901e-11
2.54818	5.30250157570426e-11
2.58309	5.89935202283154e-11
2.61799	6.49511693523904e-11
2.6529	7.08134414134385e-11
2.68781	7.65026000806936e-11
2.72271	8.19524040894277e-11
2.75762	8.71115897173616e-11
2.79253	9.19333371774103e-11
2.82743	9.6379215638952e-11
2.86234	1.00421447900289e-10
2.89725	1.04034220244425e-10
2.93215	1.07197136257001e-10
2.96706	1.09896586811828e-10
3.00197	1.12119631580794e-10
3.03687	1.13856775729559e-10
3.07178	1.15102407768254e-10
3.10669	1.15851474127207e-10
3.14159	1.16101376309784e-10
=======
0	2.87161835938507e-11
0.0349066	2.86540630613409e-11
0.0698132	2.84679075684047e-11
0.10472	2.81583461943853e-11
0.139626	2.77264857414078e-11
0.174533	2.71739248369042e-11
0.20944	2.65029114500949e-11
0.244346	2.57164349839025e-11
0.279253	2.48182807793489e-11
0.314159	2.38133589326157e-11
0.349066	2.27076906268981e-11
0.383972	2.15088600890333e-11
0.418879	2.02260164363645e-11
0.453786	1.8870391820369e-11
0.488692	1.74555121877601e-11
0.523599	1.59973676279599e-11
0.558505	1.45149586792778e-11
0.593412	1.3030120362543e-11
0.628319	1.15677905944023e-11
0.663225	1.01555741859701e-11
0.698132	8.82294405899684e-12
0.733038	7.60035228657184e-12
0.767945	6.51711307849781e-12
0.802851	5.59901806422197e-12
0.837758	4.8644186202419e-12
0.872665	4.32006632893308e-12
0.907571	3.95743882849337e-12
0.942478	3.75256688893413e-12
0.977384	3.67226565366155e-12
1.01229	3.68958075899396e-12
1.0472	3.81627086275771e-12
1.0821	4.15734185024108e-12
1.11701	4.95823023958056e-12
1.15192	6.57392530022014e-12
1.18682	9.21566234195762e-12
1.22173	1.23544961656426e-11
1.25664	1.42757028651998e-11
1.29154	1.32684142654594e-11
1.32645	1.06482475459606e-11
1.36136	8.94766890470728e-12
1.39626	8.21311108747888e-12
1.43117	8.08978472805909e-12
1.46608	7.87886522379779e-12
1.50098	7.18188573014208e-12
1.53589	9.09792602203616e-12
1.5708	8.346409968876e-12
1.6057	9.09835139448222e-12
1.64061	7.18188175459252e-12
1.67552	7.87894276754541e-12
1.71042	8.08975750224865e-12
1.74533	8.21312163518561e-12
1.78024	8.94795981999539e-12
1.81514	1.06480737017811e-11
1.85005	1.32682335852791e-11
1.88496	1.42755777533995e-11
1.91986	1.23547163515692e-11
1.95477	9.21589623466381e-12
1.98968	6.57347682360473e-12
2.02458	4.95831739646736e-12
2.05949	4.15738121409468e-12
2.0944	3.81622760131612e-12
2.1293	3.68958565104992e-12
2.16421	3.67226676248662e-12
2.19911	3.75254864475365e-12
2.23402	3.95742562823241e-12
2.26893	4.32009662532442e-12
2.30383	4.86433337973979e-12
2.33874	5.59897881243192e-12
2.37365	6.51718060001089e-12
2.40855	7.60019795934463e-12
2.44346	8.82292004243169e-12
2.47837	1.01556667792915e-11
2.51327	1.15676396570792e-11
2.54818	1.30300926893849e-11
2.58309	1.45150586708165e-11
2.61799	1.59972133811183e-11
2.6529	1.74554852360374e-11
2.68781	1.8870524856472e-11
2.72271	2.02258781422665e-11
2.75762	2.15088368239194e-11
2.79253	2.27078012231028e-11
2.82743	2.38132483589149e-11
2.86234	2.48182902313473e-11
2.89725	2.57165158030264e-11
2.93215	2.65028560078253e-11
2.96706	2.71739309124149e-11
3.00197	2.77265329583642e-11
3.03687	2.8158317995408e-11
3.07178	2.84679114504479e-11
3.10669	2.86540771029209e-11
3.14159	2.87161835934916e-11
>>>>>>> 4eef1d41d073f4ceb0d6f4ce6c7bb2d8b989c147
